topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
soil_testing,maize,soil phosphorus (p),measurement,Soil P measured at 20 lbs/acre or 10 ppm is categorized as very low for corn.,20.0,,,lbs/acre,"Mehlich 3 extraction, clay soil, continuous corn",None,| P | 20 | 10 | very low | 30 lbs PO/acre,0.95,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,345,345,,e8206b873adcc4f5b9d69627d3293691df67e0a8,0.7031,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 345, ""page_end"": 345, ""chunk_id"": ""e8206b873adcc4f5b9d69627d3293691df67e0a8"", ""evidence_quote"": ""| P | 20 | 10 | very low | 30 lbs PO/acre""}]","Crop: maize
Parameter: soil phosphorus (p)
Fact: Soil P measured at 20 lbs/acre or 10 ppm is categorized as very low for corn.
Explicit value: 20 lbs/acre
Condition: Mehlich 3 extraction, clay soil, continuous corn
Recommended action: None",021263f19e159fcf8c7e7629e7e29b799000c49b
soil_testing,maize,soil phosphorus (p) recommendation,application_rate,"For low soil P (14 lbs/acre) in corn, the recommendation is 20–40 lbs P2O5.",,20.0,40.0,lbs P2O5/acre,low soil P for corn,apply 20–40 lbs P2O5/acre,"| P | 14 | 7 | low | 20–40 lbs PO
2 5",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,347,347,,bf0d09ef7683d00a27516be2fac735e19f426e5c,0.7353,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 347, ""page_end"": 347, ""chunk_id"": ""bf0d09ef7683d00a27516be2fac735e19f426e5c"", ""evidence_quote"": ""| P | 14 | 7 | low | 20–40 lbs PO\n2 5""}]","Crop: maize
Parameter: soil phosphorus (p) recommendation
Fact: For low soil P (14 lbs/acre) in corn, the recommendation is 20–40 lbs P2O5.
Explicit range: 20 to 40 lbs P2O5/acre
Condition: low soil P for corn
Recommended action: apply 20–40 lbs P2O5/acre",ebceb4d6dd3108b845b434c286ebefa40c00e213
soil_tillage,cassava,disc harrowing depth,optimal_range,Disc harrowing is done to a depth of about 10 cm to produce friable topsoil.,10.0,,,cm,tillage,None,Disc harrowing to a depth of about 10 cm to produce friable topsoil,0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,17,17,,e317bf1793f536ebb11d70453ba7080d55a2c9fa,0.6072,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 17, ""page_end"": 17, ""chunk_id"": ""e317bf1793f536ebb11d70453ba7080d55a2c9fa"", ""evidence_quote"": ""Disc harrowing to a depth of about 10 cm to produce friable topsoil""}]","Crop: cassava
Parameter: disc harrowing depth
Fact: Disc harrowing is done to a depth of about 10 cm to produce friable topsoil.
Explicit value: 10 cm
Condition: tillage
Recommended action: None",c227736b4e1e7942909aa904e27808706b504061
soil_tillage,cassava,ploughing depth,optimal_range,Ploughing is performed to a depth of 15-30 cm.,,15.0,30.0,cm,tillage,None,Ploughing to 15-30 cm depth,0.99,/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf,CassavaGuide_A5_colour_lowres.pdf,17,17,,e317bf1793f536ebb11d70453ba7080d55a2c9fa,0.6072,"[{""source_name"": ""CassavaGuide_A5_colour_lowres.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/CassavaGuide_A5_colour_lowres.pdf"", ""page_start"": 17, ""page_end"": 17, ""chunk_id"": ""e317bf1793f536ebb11d70453ba7080d55a2c9fa"", ""evidence_quote"": ""Ploughing to 15-30 cm depth""}]","Crop: cassava
Parameter: ploughing depth
Fact: Ploughing is performed to a depth of 15-30 cm.
Explicit range: 15 to 30 cm
Condition: tillage
Recommended action: None",af95a78a28be8191633625c027a7ef3a07a76bab
soil_water,,water range,optimal_range,There is an optimum water range referenced in the text.,,,,None,None,None,"optimum water range, 85, 264",0.9,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,404,404,,f08ef59e07ca04a96238dff46c6d830033ab1339,0.6267,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 404, ""page_end"": 404, ""chunk_id"": ""f08ef59e07ca04a96238dff46c6d830033ab1339"", ""evidence_quote"": ""optimum water range, 85, 264""}]","Parameter: water range
Fact: There is an optimum water range referenced in the text.
Condition: None
Recommended action: None",658b2db53a98a7952b146facfe0bc9d22b35127b
soil_water,cover crops,water-holding capacity,cause_effect,Diverse cover crop mixes improved water-holding capacity on Brown's Ranch.,,,,None,Brown's Ranch after transition to cover crops,None,improved waterholding capacity,0.97,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,172,172,,3aac4d07a593fa0fa13c882e09329a28ace7ba84,0.4929,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 172, ""page_end"": 172, ""chunk_id"": ""3aac4d07a593fa0fa13c882e09329a28ace7ba84"", ""evidence_quote"": ""improved waterholding capacity""}]","Crop: cover crops
Parameter: water-holding capacity
Fact: Diverse cover crop mixes improved water-holding capacity on Brown's Ranch.
Condition: Brown's Ranch after transition to cover crops
Recommended action: None",61217e1697bb654e8f2e0f27896cb253506b2df2
soil_waterlogging,maize,soil water status,other_agronomic_fact,Presence of indicator plants such as sedges can indicate waterlogging in maize.,,,,None,presence of indicator plants,None,"Presence of indicator plants (for example, sedges)",0.98,/content/drive/MyDrive/Agronomy_Data_Source/ca8167en.pdf,ca8167en.pdf,25,25,,420ac6e3899d6c463c1d3033696317be6f13b7d0,0.6636,"[{""source_name"": ""ca8167en.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/ca8167en.pdf"", ""page_start"": 25, ""page_end"": 25, ""chunk_id"": ""420ac6e3899d6c463c1d3033696317be6f13b7d0"", ""evidence_quote"": ""Presence of indicator plants (for example, sedges)""}]","Crop: maize
Parameter: soil water status
Fact: Presence of indicator plants such as sedges can indicate waterlogging in maize.
Condition: presence of indicator plants
Recommended action: None",ab3be5f27f2f5ece6e0224c4e459765d787a61d4
subsurface_hardness,,subsurface hardness,acceptable_range,Soils with high subsurface hardness require management interventions.,,,,None,subsurface hardness,use targeted deep tillage; plant deep rooted cover crops/radish,"Subsurface Hardness High | • Use targeted deep tillage (subsoiler, yeomans plow, chisel plow, spader.) • Plant deep rooted cover crops/radish",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""Subsurface Hardness High | • Use targeted deep tillage (subsoiler, yeomans plow, chisel plow, spader.) • Plant deep rooted cover crops/radish""}]","Parameter: subsurface hardness
Fact: Soils with high subsurface hardness require management interventions.
Condition: subsurface hardness
Recommended action: use targeted deep tillage; plant deep rooted cover crops/radish",92e956a2b4a54fd7b50048a1d109715454a57af5
sulfur,,soil texture and organic matter,cause_effect,"Sulfur deficiency is common on coarse texture soils with low organic matter, in part because it is subject to leaching in the oxidized sulfate form.",,,,None,coarse texture soils with low organic matter,None,"Sulfur deficiency is common on coarse texture soils with low organic matter, in part because it is subject to leaching in the oxidized sulfate form (similar to nitrate).",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,324,324,,6403bd690775448cc1eaf1ee3bd0ac92485a0d17,0.7367,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 324, ""page_end"": 324, ""chunk_id"": ""6403bd690775448cc1eaf1ee3bd0ac92485a0d17"", ""evidence_quote"": ""Sulfur deficiency is common on coarse texture soils with low organic matter, in part because it is subject to leaching in the oxidized sulfate form (similar to nitrate).""}]","Parameter: soil texture and organic matter
Fact: Sulfur deficiency is common on coarse texture soils with low organic matter, in part because it is subject to leaching in the oxidized sulfate form.
Condition: coarse texture soils with low organic matter
Recommended action: None",8472ee2b9c31eaa7bbe69bd2b507df7e028dc6a1
sulfur,garlic,sulfur supply,requirement,A good supply of sulfur is important for the full development of garlic's pungent flavor.,,,,None,garlic growth,None,a good supply of sulfur is important for the full development of garlic’s pungent flavor.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,324,324,,6403bd690775448cc1eaf1ee3bd0ac92485a0d17,0.7367,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 324, ""page_end"": 324, ""chunk_id"": ""6403bd690775448cc1eaf1ee3bd0ac92485a0d17"", ""evidence_quote"": ""a good supply of sulfur is important for the full development of garlic’s pungent flavor.""}]","Crop: garlic
Parameter: sulfur supply
Fact: A good supply of sulfur is important for the full development of garlic's pungent flavor.
Condition: garlic growth
Recommended action: None",1e4e88dc3556829e09b1ca83b4a9402155a0f4ac
surface_hardness,,surface hardness,acceptable_range,Soils with high surface hardness require management interventions.,,,,None,surface hardness,perform some mechanical soil loosening; use shallow-rooted cover crops; use a living mulch or interseed cover crop,"Surface Hardness High | • Perform some mechanical soil loosening (strip till, aerators, broadfork, spader) • Use shallow-rooted cover crops • Use a living mulch or interseed cover crop",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""Surface Hardness High | • Perform some mechanical soil loosening (strip till, aerators, broadfork, spader) • Use shallow-rooted cover crops • Use a living mulch or interseed cover crop""}]","Parameter: surface hardness
Fact: Soils with high surface hardness require management interventions.
Condition: surface hardness
Recommended action: perform some mechanical soil loosening; use shallow-rooted cover crops; use a living mulch or interseed cover crop",e214e34dba1dd2d8be63694397e712c9681aaf27
tillage,,chisel tillage depth,acceptable_range,"Chisel tillage depth generally ranges from 5 to 12 inches, with some tools designed to go deeper for breaking up compacted layers.",,5.0,12.0,inches,chisel tillage,None,"Chisels also allow for more flexibility in the depth of tillage, generally from 5 to 12 inches, with some tools specifically designed to go deeper, which may be useful for breaking up compacted layers.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,258,258,,3f263eb6dbfb4517fc054533c734c79ec9bab01b,0.527,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 258, ""page_end"": 258, ""chunk_id"": ""3f263eb6dbfb4517fc054533c734c79ec9bab01b"", ""evidence_quote"": ""Chisels also allow for more flexibility in the depth of tillage, generally from 5 to 12 inches, with some tools specifically designed to go deeper, which may be useful for breaking up compacted layers.""}]","Parameter: chisel tillage depth
Fact: Chisel tillage depth generally ranges from 5 to 12 inches, with some tools designed to go deeper for breaking up compacted layers.
Explicit range: 5 to 12 inches
Condition: chisel tillage
Recommended action: None",e1269133f26cda515bc5acc2edeec3607ce4a7ed
tillage,,disk plow primary tillage depth,acceptable_range,Heavy disk plows used as primary tillage tools usually go 6-8 inches deep.,,6.0,8.0,inches,heavy disk plow as primary tillage,None,"Disk plows come in a heavy version, as a primary tillage tool that usually goes 6–8 inches deep",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,258,258,,3f263eb6dbfb4517fc054533c734c79ec9bab01b,0.527,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 258, ""page_end"": 258, ""chunk_id"": ""3f263eb6dbfb4517fc054533c734c79ec9bab01b"", ""evidence_quote"": ""Disk plows come in a heavy version, as a primary tillage tool that usually goes 6–8 inches deep""}]","Parameter: disk plow primary tillage depth
Fact: Heavy disk plows used as primary tillage tools usually go 6-8 inches deep.
Explicit range: 6 to 8 inches
Condition: heavy disk plow as primary tillage
Recommended action: None",d3c22eca800d22168da84908142b97db67011b7c
tillage,,"lime, phosphate, potash, manures, organic residues incorporation",management_action,"When changing from conventional tillage to no-till or reduced tillage, incorporate needed lime, phosphate, potash, manures, and organic residues before making the switch.",,,,None,changing from conventional tillage to no-till or other forms of reduced tillage,"incorporate needed lime, phosphate and potash, as well as manures and other organic residues before making the switch","If you are thinking about changing from conventional tillage to no-till or other forms of reduced tillage, incorporate needed lime, phosphate and potash, as well as manures and other organic residues, before making the switch.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,303,303,,1b1427c7cb724005d5333ec06a83a5982bc26409,0.6696,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 303, ""page_end"": 303, ""chunk_id"": ""1b1427c7cb724005d5333ec06a83a5982bc26409"", ""evidence_quote"": ""If you are thinking about changing from conventional tillage to no-till or other forms of reduced tillage, incorporate needed lime, phosphate and potash, as well as manures and other organic residues, before making the switch.""}]","Parameter: lime, phosphate, potash, manures, organic residues incorporation
Fact: When changing from conventional tillage to no-till or reduced tillage, incorporate needed lime, phosphate, potash, manures, and organic residues before making the switch.
Condition: changing from conventional tillage to no-till or other forms of reduced tillage
Recommended action: incorporate needed lime, phosphate and potash, as well as manures and other organic residues before making the switch",36ef9cc52a30bb7ce65eff2926f0b92b90a79ec9
tillage,,moldboard plow tillage,management_action,Moldboard plow tillage allows easy incorporation of fertilizers and amendments.,,,,None,full-width tillage with moldboard plow,Allows easy incorporation of fertilizers and amendments,Allows easy incorporation of fertilizers and amendments,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,256,256,,d4793ea6afa24c80963cb6ea5edce12f0b40f497,0.615,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 256, ""page_end"": 256, ""chunk_id"": ""d4793ea6afa24c80963cb6ea5edce12f0b40f497"", ""evidence_quote"": ""Allows easy incorporation of fertilizers and amendments""}]","Parameter: moldboard plow tillage
Fact: Moldboard plow tillage allows easy incorporation of fertilizers and amendments.
Condition: full-width tillage with moldboard plow
Recommended action: Allows easy incorporation of fertilizers and amendments",ec2cd496c0137318e01bd05d238cc49aa4ffad56
tillage,,moldboard plow tillage,management_action,Moldboard plow tillage buries surface weed seeds.,,,,None,full-width tillage with moldboard plow,Buries surface weed seeds,Buries surface weed seeds,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,256,256,,d4793ea6afa24c80963cb6ea5edce12f0b40f497,0.615,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 256, ""page_end"": 256, ""chunk_id"": ""d4793ea6afa24c80963cb6ea5edce12f0b40f497"", ""evidence_quote"": ""Buries surface weed seeds""}]","Parameter: moldboard plow tillage
Fact: Moldboard plow tillage buries surface weed seeds.
Condition: full-width tillage with moldboard plow
Recommended action: Buries surface weed seeds",8fff2f00772c9312f7a9ea4b98e769a4f593597f
tillage,,no-till system,other_agronomic_fact,No-till leaves little soil disturbance and requires few trips over the field.,,,,None,None,None,Leaves little soil disturbance Requires few trips over field,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,256,256,,6d49aadd82980c013f04c6c8f40cf557433a1b36,0.5945,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 256, ""page_end"": 256, ""chunk_id"": ""6d49aadd82980c013f04c6c8f40cf557433a1b36"", ""evidence_quote"": ""Leaves little soil disturbance Requires few trips over field""}]","Parameter: no-till system
Fact: No-till leaves little soil disturbance and requires few trips over the field.
Condition: None
Recommended action: None",0c658d0bc0e3d0e513dbe40eebef89e90104feb2
tillage,,no-till system,other_agronomic_fact,No-till makes it more difficult to incorporate fertilizers and amendments without specialized equipment.,,,,None,None,None,Makes it more difficult to incorporate fertilizers and amendments without specialized equipment,0.0,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,256,256,,6d49aadd82980c013f04c6c8f40cf557433a1b36,0.5945,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 256, ""page_end"": 256, ""chunk_id"": ""6d49aadd82980c013f04c6c8f40cf557433a1b36"", ""evidence_quote"": ""Makes it more difficult to incorporate fertilizers and amendments without specialized equipment""}]","Parameter: no-till system
Fact: No-till makes it more difficult to incorporate fertilizers and amendments without specialized equipment.
Condition: None
Recommended action: None",22b547f1cb0eb6554026ee877044ed9730c24bab
tillage,,no-till system,other_agronomic_fact,No-till provides the most surface residue cover and runoff/erosion protection.,,,,None,None,None,Provides the most surface residue cover and runoff/ erosion protection,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,256,256,,6d49aadd82980c013f04c6c8f40cf557433a1b36,0.5945,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 256, ""page_end"": 256, ""chunk_id"": ""6d49aadd82980c013f04c6c8f40cf557433a1b36"", ""evidence_quote"": ""Provides the most surface residue cover and runoff/ erosion protection""}]","Parameter: no-till system
Fact: No-till provides the most surface residue cover and runoff/erosion protection.
Condition: None
Recommended action: None",ba2685564da5da58e011328bc513a86f5689fb2d
tillage,,soil disturbance,cause_effect,Soil disturbance is generally bad for long-term soil health.,,,,None,long-term soil health,None,But we know that soil disturbance is generally bad for long-term soil health.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,252,252,,666d768533b81f1812c908ec879094838c319051,0.5614,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 252, ""page_end"": 252, ""chunk_id"": ""666d768533b81f1812c908ec879094838c319051"", ""evidence_quote"": ""But we know that soil disturbance is generally bad for long-term soil health.""}]","Parameter: soil disturbance
Fact: Soil disturbance is generally bad for long-term soil health.
Condition: long-term soil health
Recommended action: None",30b9da308daefbaf58aeb4ef7af327467319b56e
tillage,,strategic tillage frequency,management_action,"Strategic tillage should be done on a very limited basis, once every 5-10 years.",,5.0,10.0,years,strategic tillage,Perform strategic tillage once every 5-10 years.,"So if strategic tillage is used, it should be done on a very limited basis (once every 5–10 years)",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,265,265,,3fe3ea98058abc556e371b035c0b5eed1d083f49,0.6358,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 265, ""page_end"": 265, ""chunk_id"": ""3fe3ea98058abc556e371b035c0b5eed1d083f49"", ""evidence_quote"": ""So if strategic tillage is used, it should be done on a very limited basis (once every 5–10 years)""}]","Parameter: strategic tillage frequency
Fact: Strategic tillage should be done on a very limited basis, once every 5-10 years.
Explicit range: 5 to 10 years
Condition: strategic tillage
Recommended action: Perform strategic tillage once every 5-10 years.",7f4145c6ee41afe64c5cd0cc1d6843c95d35116a
tillage,,strategic tillage purpose,management_action,"Strategic tillage should only be done for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief.",,,,None,strategic tillage,"Only use strategic tillage for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief.","But it should only be done for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief (say, after a harvest during a wet period).",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,265,265,,3fe3ea98058abc556e371b035c0b5eed1d083f49,0.6358,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 265, ""page_end"": 265, ""chunk_id"": ""3fe3ea98058abc556e371b035c0b5eed1d083f49"", ""evidence_quote"": ""But it should only be done for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief (say, after a harvest during a wet period).""}]","Parameter: strategic tillage purpose
Fact: Strategic tillage should only be done for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief.
Condition: strategic tillage
Recommended action: Only use strategic tillage for a well-identified purpose like weed or insect control, incorporation of immobile amendments, or compaction relief.",c5d85c40b2cef40535438c15c754874b527fcf53
tillage,,tillage practice,management_action,Brown's Ranch shifted to no-till as part of regenerative agriculture practices.,,,,None,Brown's Ranch regenerative transition,Reduce or eliminate tillage.,the no-till ranch has seen immense improvements in all aspects of the operation,0.97,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,172,172,,3aac4d07a593fa0fa13c882e09329a28ace7ba84,0.4929,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 172, ""page_end"": 172, ""chunk_id"": ""3aac4d07a593fa0fa13c882e09329a28ace7ba84"", ""evidence_quote"": ""the no-till ranch has seen immense improvements in all aspects of the operation""}]","Parameter: tillage practice
Fact: Brown's Ranch shifted to no-till as part of regenerative agriculture practices.
Condition: Brown's Ranch regenerative transition
Recommended action: Reduce or eliminate tillage.",e6b6687e075bff1e3c3c06a27b26e9b1dc66e083
tillage,corn; beans; squash,planting method,crop_suitability,"Direct seeding and hill planting were well adapted to corn, beans and squash because they have large seeds and require lower plant densities than cereal crops.",,,,None,large seeds and lower plant densities,None,"These practices were well adapted to the staple crops of corn, beans and squash, which have large seeds and require lower plant densities than the cereal crops of the Old World.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,253,253,,5ce5e2e7ab0224dfce53408a12248d9449336ecb,0.5508,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 253, ""page_end"": 253, ""chunk_id"": ""5ce5e2e7ab0224dfce53408a12248d9449336ecb"", ""evidence_quote"": ""These practices were well adapted to the staple crops of corn, beans and squash, which have large seeds and require lower plant densities than the cereal crops of the Old World.""}]","Crop: corn, beans, squash
Parameter: planting method
Fact: Direct seeding and hill planting were well adapted to corn, beans and squash because they have large seeds and require lower plant densities than cereal crops.
Condition: large seeds and lower plant densities
Recommended action: None",36bb27b1218ddd1b70715d1c5f3a17ed3c6e97d3
tillage,corn; beans; squash,planting method,management_action,"Early American farmers used direct seeding with planting sticks or manual hoes that created small mounds for corn, beans and squash.",,,,None,crops with large seeds requiring lower plant densities,direct seeding with planting sticks or manual hoes creating small mounds,"They instead used mostly direct seeding with planting sticks (Figure 16.1), or manual hoes that created small mounds (“hills”).",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,253,253,,5ce5e2e7ab0224dfce53408a12248d9449336ecb,0.5508,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 253, ""page_end"": 253, ""chunk_id"": ""5ce5e2e7ab0224dfce53408a12248d9449336ecb"", ""evidence_quote"": ""They instead used mostly direct seeding with planting sticks (Figure 16.1), or manual hoes that created small mounds (“hills”).""}]","Crop: corn, beans, squash
Parameter: planting method
Fact: Early American farmers used direct seeding with planting sticks or manual hoes that created small mounds for corn, beans and squash.
Condition: crops with large seeds requiring lower plant densities
Recommended action: direct seeding with planting sticks or manual hoes creating small mounds",63a1236c535be586e707dd87c22455aaccbfc9f7
tillage,wheat; rye; barley,tillage purpose,definition,"Tillage was first done by farmers who grew small-grain crops, such as wheat, rye and barley, primarily in western Asia (the Fertile Crescent), Europe and northern Africa.",,,,None,historical tillage practice,None,"Tillage was first done by farmers who grew small-grain crops, such as wheat, rye and barley, primarily in western Asia (the Fertile Crescent), Europe and northern Africa.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,252,252,,666d768533b81f1812c908ec879094838c319051,0.5614,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 252, ""page_end"": 252, ""chunk_id"": ""666d768533b81f1812c908ec879094838c319051"", ""evidence_quote"": ""Tillage was first done by farmers who grew small-grain crops, such as wheat, rye and barley, primarily in western Asia (the Fertile Crescent), Europe and northern Africa.""}]","Crop: wheat, rye, barley
Parameter: tillage purpose
Fact: Tillage was first done by farmers who grew small-grain crops, such as wheat, rye and barley, primarily in western Asia (the Fertile Crescent), Europe and northern Africa.
Condition: historical tillage practice
Recommended action: None",a94f33b1d679ee5aef50f15c30bccc8bf80d1e9d
